0|1:0.5147679999999999 2:0.5011039999999997 3:0.4995499999999999 4:0.499394 5:0.4994080000000002 6:0.49956399999999984 7:0.4996759999999997 8:0.49933399999999967 9:0.49927600000000044 10:0.49994999999999973 11:0.4995380000000003 12:0.4997340000000004 13:0.4985939999999998 14:0.501992 15:0.4988900000000002 16:0.44937599999999966 17:0.21973000000000004 18:0.04978000000000002 20:0.0025999999999999994 19:0.0025259999999999996 
2|1:0.5147679999999999 2:0.3994220000000002 3:0.36912000000000006 4:0.35257600000000033 5:0.34107999999999966 6:0.3357099999999994 7:0.3333919999999998 8:0.3345539999999997 9:0.3377419999999997 10:0.34282599999999963 11:0.3493740000000001 12:0.35620400000000035 13:0.3639240000000004 14:0.373432 15:0.3760100000000002 16:0.34595799999999965 17:0.17662799999999998 18:0.04061 20:0.0021000000000000003 19:0.001578 
4|1:0.5147679999999999 2:0.3134500000000001 3:0.26238000000000017 4:0.24006199999999994 5:0.22712199999999957 6:0.2215899999999995 7:0.22001999999999972 8:0.22128799999999937 9:0.22480399999999953 10:0.2312579999999996 11:0.2391479999999998 12:0.24783799999999995 13:0.25943000000000005 14:0.2731980000000003 15:0.2793139999999999 16:0.26659399999999994 17:0.14003999999999994 18:0.033070000000000016 20:0.0019000000000000002 19:0.001474 
6|1:0.5147679999999999 2:0.24217799999999998 3:0.18230800000000016 4:0.1609620000000002 5:0.15057200000000007 6:0.14685000000000017 7:0.14659199999999997 8:0.14852200000000004 9:0.1516740000000001 10:0.15750000000000006 11:0.164774 12:0.17386400000000007 13:0.1841920000000001 14:0.19854399999999972 15:0.2081159999999999 16:0.20596799999999996 17:0.11394000000000008 18:0.026708000000000006 20:0.0017 19:0.001264 
8|1:0.5147679999999999 2:0.188626 3:0.128646 4:0.11025799999999987 5:0.10302399999999996 6:0.10158800000000005 7:0.10150600000000007 8:0.10353999999999995 9:0.10674799999999993 10:0.11153199999999998 11:0.11788800000000012 12:0.12645599999999993 13:0.13667400000000007 14:0.1513940000000002 15:0.16023799999999996 16:0.16184399999999982 17:0.09474400000000002 18:0.022491999999999998 20:0.0014 19:0.001474 
10|1:0.5147679999999999 2:0.15158600000000003 3:0.09457000000000006 4:0.08071000000000009 5:0.07614400000000002 6:0.07535199999999995 7:0.07621200000000002 8:0.07771200000000007 9:0.08056000000000012 10:0.0844680000000001 11:0.09022399999999997 12:0.09711600000000013 13:0.10710000000000004 14:0.12131000000000002 15:0.133044 16:0.1363339999999999 17:0.081426 18:0.018473999999999994 20:0.0014000000000000002 19:0.001158 
12|1:0.5147679999999999 2:0.12162400000000013 3:0.07219000000000014 4:0.06277800000000001 5:0.06038399999999998 6:0.06044800000000003 7:0.06140400000000001 8:0.06243399999999999 9:0.06464599999999998 10:0.06773800000000003 11:0.07285800000000002 12:0.07949800000000003 13:0.088526 14:0.10269399999999998 15:0.11466599999999989 16:0.1185799999999998 17:0.07395200000000003 18:0.016178 20:0.0014000000000000002 19:0.001052 
14|1:0.5147679999999999 2:0.10031199999999996 3:0.05805799999999996 4:0.052204000000000014 5:0.05070399999999998 6:0.05141399999999997 7:0.05198800000000003 8:0.05289600000000006 9:0.05479999999999994 10:0.057346000000000015 11:0.06232600000000004 12:0.06796399999999993 13:0.07657199999999997 14:0.09036600000000011 15:0.10444399999999994 16:0.10859799999999996 17:0.068342 18:0.014915999999999997 20:0.0015 19:0.001158 
16|1:0.5147679999999999 2:0.08439999999999996 3:0.04895999999999993 4:0.045647999999999946 5:0.04488999999999998 6:0.04555799999999998 7:0.04625399999999992 8:0.046858 9:0.048533999999999994 10:0.05093399999999993 11:0.055179999999999965 12:0.06076400000000004 13:0.06928000000000006 14:0.08386200000000009 15:0.09814800000000017 16:0.10458399999999986 17:0.06555400000000002 18:0.014917999999999997 20:0.0018 19:0.001262 
18|1:0.5147679999999999 2:0.071176 3:0.042653999999999956 4:0.04117799999999998 5:0.04123000000000002 6:0.04186999999999997 7:0.04233399999999997 8:0.04289999999999998 9:0.044409999999999956 10:0.04653599999999997 11:0.050035999999999956 12:0.055860000000000035 13:0.06468199999999993 14:0.07923399999999997 15:0.09295800000000014 16:0.10074599999999989 17:0.06493000000000002 18:0.015083999999999998 20:0.0019 19:0.0013679999999999999 
20|1:0.5147679999999999 2:0.06077800000000004 3:0.03879200000000001 4:0.03856399999999999 5:0.038881999999999965 6:0.03927599999999999 7:0.039994 8:0.040482000000000025 9:0.04172 10:0.043837999999999995 11:0.046575999999999944 12:0.05250600000000001 13:0.061479999999999986 14:0.07634799999999997 15:0.08997000000000015 16:0.0983699999999999 17:0.06451400000000003 18:0.014267999999999996 20:0.0018 19:0.001474 
22|1:0.5147679999999999 2:0.05303199999999998 3:0.03641999999999998 4:0.03698199999999998 5:0.03726599999999996 6:0.037813999999999987 7:0.03828999999999996 8:0.03861599999999996 9:0.03975999999999996 10:0.041715999999999975 11:0.04443399999999997 12:0.05029000000000002 13:0.05889000000000001 14:0.07365799999999996 15:0.0882700000000001 16:0.09787599999999998 17:0.06350800000000005 18:0.012776 20:0.0017 19:0.00158 
24|1:0.5147679999999999 2:0.046529999999999995 3:0.033939999999999984 4:0.03573599999999999 5:0.03603199999999995 6:0.03679799999999998 7:0.03714599999999996 8:0.037387999999999956 9:0.03846999999999994 10:0.040358 11:0.04287399999999999 12:0.04865999999999996 13:0.056986 14:0.07264599999999999 15:0.0882980000000001 16:0.09861399999999994 17:0.06350400000000003 18:0.013107999999999996 20:0.0017 19:0.0016840000000000002 
26|1:0.5147679999999999 2:0.041793999999999984 3:0.03264599999999997 4:0.03501200000000002 5:0.035402 6:0.03618400000000001 7:0.036539999999999934 8:0.03673400000000002 9:0.03779599999999997 10:0.039522000000000015 11:0.04206399999999993 12:0.048069999999999995 13:0.05654399999999996 14:0.07225200000000001 15:0.08802000000000004 16:0.09915399999999999 17:0.06512200000000003 18:0.013049999999999999 20:0.0017 19:0.0016840000000000002 
28|1:0.5147679999999999 2:0.037905999999999974 3:0.03199799999999997 4:0.03421799999999999 5:0.03497400000000001 6:0.03562199999999999 7:0.03583999999999997 8:0.036119999999999965 9:0.037126 10:0.038773999999999975 11:0.04145000000000003 12:0.047189999999999954 13:0.05589199999999998 14:0.07163200000000006 15:0.08811600000000004 16:0.09976199999999998 17:0.06451800000000002 18:0.012491999999999998 20:0.0017 19:0.002 
30|1:0.5147679999999999 2:0.035011999999999974 3:0.031541999999999994 4:0.034023999999999964 5:0.034729999999999976 6:0.035454 7:0.03580999999999998 8:0.03593199999999993 9:0.036803999999999996 10:0.03836999999999999 11:0.04082199999999997 12:0.04610199999999996 13:0.055554000000000034 14:0.07166400000000005 15:0.08913600000000009 16:0.10025999999999999 17:0.06484600000000006 18:0.01175 20:0.0018 19:0.002 
32|1:0.5147679999999999 2:0.03287399999999996 3:0.030715999999999972 4:0.033875999999999955 5:0.034565999999999965 6:0.035117999999999976 7:0.03550599999999999 8:0.03567799999999995 9:0.036563999999999985 10:0.03783999999999992 11:0.04067 12:0.04579999999999994 13:0.054817999999999985 14:0.07181400000000007 15:0.08854800000000017 16:0.10159199999999992 17:0.06476400000000004 18:0.011917999999999998 20:0.0018 19:0.001894 
34|1:0.5147679999999999 2:0.03066199999999995 3:0.03075199999999997 4:0.03394800000000003 5:0.03445599999999998 6:0.035092000000000005 7:0.03534599999999997 8:0.035646 9:0.036442000000000016 10:0.03793999999999994 11:0.04029599999999995 12:0.04528199999999999 13:0.055174 14:0.07206999999999998 15:0.08957400000000013 16:0.10404199999999994 17:0.06562800000000003 18:0.011936 20:0.0019000000000000002 19:0.002106 
36|1:0.5147679999999999 2:0.02927399999999996 3:0.03076999999999999 4:0.03414799999999997 5:0.034625999999999955 6:0.03528599999999998 7:0.035537999999999965 8:0.03576799999999998 9:0.03647399999999995 10:0.03805799999999996 11:0.04038600000000001 12:0.045511999999999976 13:0.05596800000000002 14:0.07184199999999998 15:0.09039600000000016 16:0.10452800000000002 17:0.06684000000000004 18:0.012137999999999998 20:0.0019 19:0.002 
38|1:0.5147679999999999 2:0.028019999999999944 3:0.03063599999999998 4:0.033853999999999995 5:0.034617999999999996 6:0.03509599999999996 7:0.03542999999999998 8:0.035789999999999995 9:0.036301999999999994 10:0.03789400000000003 11:0.04038399999999998 12:0.045415999999999984 13:0.055532000000000005 14:0.07235600000000002 15:0.09135000000000018 16:0.10467200000000004 17:0.06620999999999999 18:0.012607999999999998 20:0.002 19:0.002106 
40|1:0.5147679999999999 2:0.027155999999999934 3:0.030481999999999985 4:0.033913999999999965 5:0.03451999999999997 6:0.03527800000000001 7:0.03554 8:0.03580199999999995 9:0.036158 10:0.03781999999999995 11:0.04030799999999996 12:0.04547999999999996 13:0.05558399999999999 14:0.07282400000000003 15:0.09197200000000015 16:0.10548599999999993 17:0.067504 18:0.012529999999999998 20:0.0019 19:0.002 
42|1:0.5147679999999999 2:0.02646199999999996 3:0.03031799999999998 4:0.03394599999999999 5:0.03485399999999999 6:0.035447999999999986 7:0.03562599999999999 8:0.035851999999999946 9:0.03649599999999996 10:0.038041999999999944 11:0.040434 12:0.04587999999999999 13:0.05576800000000003 14:0.07349600000000002 15:0.09179400000000011 16:0.105896 17:0.06673800000000002 18:0.012231999999999998 20:0.0019 19:0.002106 
44|1:0.5147679999999999 2:0.024795999999999943 3:0.030697999999999986 4:0.03432399999999997 5:0.03499599999999998 6:0.03561200000000002 7:0.03594399999999996 8:0.03604599999999998 9:0.03671199999999997 10:0.038331999999999956 11:0.040949999999999966 12:0.045633999999999966 13:0.056174000000000016 14:0.07391400000000001 15:0.09312200000000011 16:0.10664999999999993 17:0.06741599999999998 18:0.012359999999999998 20:0.0019 19:0.002106 
46|1:0.5147679999999999 2:0.025015999999999955 3:0.030632 4:0.03460199999999998 5:0.035281999999999994 6:0.035883999999999965 7:0.03618399999999998 8:0.03654399999999997 9:0.037133999999999966 10:0.03868999999999994 11:0.04122600000000004 12:0.046082000000000026 13:0.056832000000000035 14:0.07434400000000004 15:0.09345800000000004 16:0.10683599999999999 17:0.06808200000000003 18:0.012551999999999999 20:0.0019 19:0.002106 
48|1:0.5147679999999999 2:0.02494399999999996 3:0.030645999999999986 4:0.03456599999999999 5:0.035413999999999966 6:0.036017999999999974 7:0.03642000000000001 8:0.03659599999999998 9:0.03709599999999996 10:0.03862799999999994 11:0.04109799999999998 12:0.04626400000000001 13:0.05734399999999998 14:0.07466800000000001 15:0.09349400000000012 16:0.1080719999999999 17:0.069196 18:0.012474 20:0.002 19:0.002316 
50|1:0.5147679999999999 2:0.02439999999999993 3:0.030811999999999985 4:0.034741999999999953 5:0.03564999999999993 6:0.036289999999999975 7:0.03663999999999992 8:0.03679399999999996 9:0.03731000000000001 10:0.039001999999999946 11:0.041389999999999955 12:0.04649799999999999 13:0.057665999999999974 14:0.07587800000000003 15:0.09354400000000018 16:0.10893799999999998 17:0.070652 18:0.011989999999999999 20:0.0021000000000000003 19:0.002212 
52|1:0.5147679999999999 2:0.02475399999999997 3:0.030984 4:0.03477999999999996 5:0.035779999999999965 6:0.03637999999999999 7:0.036728 8:0.03697599999999995 9:0.03746799999999997 10:0.039155999999999955 11:0.04149200000000004 12:0.046742000000000006 13:0.05801000000000001 14:0.07596800000000001 15:0.0946980000000001 16:0.110532 17:0.070116 18:0.012635999999999996 20:0.002 19:0.002316 
54|1:0.5147679999999999 2:0.024239999999999963 3:0.031068000000000005 4:0.03508799999999998 5:0.036245999999999994 6:0.036705999999999975 7:0.03707799999999996 8:0.03730599999999998 9:0.03775599999999995 10:0.03915799999999998 11:0.04167399999999995 12:0.04680799999999992 13:0.05830400000000001 14:0.07697200000000001 15:0.09617600000000014 16:0.11009199999999994 17:0.07042800000000003 18:0.012709999999999999 20:0.002 19:0.002316 
56|1:0.5147679999999999 2:0.024525999999999964 3:0.03143199999999999 4:0.034989999999999986 5:0.03627399999999996 6:0.036770000000000067 7:0.037241999999999956 8:0.03739799999999999 9:0.03777400000000001 10:0.03960199999999995 11:0.041727999999999925 12:0.046941999999999956 13:0.058294000000000054 14:0.07682400000000011 15:0.09620600000000012 16:0.11038799999999999 17:0.06997400000000004 18:0.012305999999999996 20:0.0021000000000000003 19:0.002106 
